co_id,year_quarter,account_code,account_name_cn,period_q_current,yoy_pct
1103,2026Q2,5900,營業毛利（毛損）,135689.0,
1103,2026Q2,5950,營業毛利（毛損）淨額,135689.0,
1103,2026Q2,6000,營業費用合計,133502.0,
1103,2026Q2,6100,推銷費用,10426.0,
1103,2026Q2,6200,管理費用,123050.0,
1103,2026Q2,6450,預期信用減損損失（利益）,26.0,
1103,2026Q2,6900,營業利益（損失）,2187.0,
1103,2026Q2,7000,營業外收入及支出合計,135013.0,
1103,2026Q2,7010,其他收入合計,46105.0,
1103,2026Q2,7020,其他利益及損失淨額,2751.0,
1103,2026Q2,7050,財務成本淨額,61714.0,
1103,2026Q2,7060,採用權益法認列之關聯企業及合資損益之份額淨額,108482.0,
1103,2026Q2,7100,利息收入合計,39389.0,
1103,2026Q2,7900,繼續營業單位稅前淨利（淨損）,137200.0,
1103,2026Q2,7950,所得稅費用（利益）合計,7528.0,
1103,2026Q2,8000,繼續營業單位本期淨利（淨損）,129672.0,
1103,2026Q2,8200,本期淨利（淨損）,129672.0,
1103,2026Q2,8300,其他綜合損益（淨額）,355447.0,
1103,2026Q2,8310,不重分類至損益之項目總額,374198.0,
1103,2026Q2,8316,透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,374097.0,
1103,2026Q2,8320,採用權益法認列之關聯企業及合資之其他綜合損益之份額－不重分類至損益之項目,101.0,
1103,2026Q2,8360,後續可能重分類至損益之項目總額,-18751.0,
1103,2026Q2,8361,國外營運機構財務報表換算之兌換差額,-31396.0,
1103,2026Q2,8370,採用權益法認列之關聯企業及合資之其他綜合損益之份額－可能重分類至損益之項目,4284.0,
1103,2026Q2,8399,與可能重分類之項目相關之所得稅,-8361.0,
1103,2026Q2,8500,本期綜合損益總額,485119.0,
1103,2026Q2,8610,母公司業主（淨利／損）,125610.0,
1103,2026Q2,8620,非控制權益（淨利／損）,4062.0,
1103,2026Q2,8710,母公司業主（綜合損益）,464458.0,
1103,2026Q2,8720,非控制權益（綜合損益）,20661.0,
1103,2026Q2,9710,繼續營業單位淨利（淨損）,0.19,
1103,2026Q2,9750,基本每股盈餘合計,0.19,
1103,2026Q2,9810,繼續營業單位淨利（淨損）,0.19,
1103,2026Q2,9850,稀釋每股盈餘合計,0.19,
1104,2025Q1,4000,營業收入合計,1928654.0,
1104,2025Q1,5000,營業成本合計,1536947.0,
1104,2025Q1,5900,營業毛利（毛損）,391707.0,
1104,2025Q1,5950,營業毛利（毛損）淨額,391707.0,
1104,2025Q1,6000,營業費用合計,124497.0,
1104,2025Q1,6100,推銷費用,19863.0,
1104,2025Q1,6200,管理費用,83757.0,
1104,2025Q1,6300,研究發展費用,20485.0,
1104,2025Q1,6450,預期信用減損損失(利益),392.0,
1104,2025Q1,6900,營業利益（損失）,267210.0,
1104,2025Q1,7000,營業外收入及支出合計,80710.0,
1104,2025Q1,7010,其他收入合計,6930.0,
1104,2025Q1,7020,其他利益及損失淨額,-1358.0,
1104,2025Q1,7050,財務成本淨額,11367.0,
1104,2025Q1,7060,採用權益法認列之關聯企業及合資損益之份額淨額,82732.0,
1104,2025Q1,7100,利息收入合計,3773.0,
1104,2025Q1,7190,其他收入－其他,6930.0,
1104,2025Q1,7900,繼續營業單位稅前淨利（淨損）,347920.0,
1104,2025Q1,7950,所得稅費用（利益）合計,53127.0,
1104,2025Q1,8000,繼續營業單位本期淨利（淨損）,294793.0,
1104,2025Q1,8200,本期淨利（淨損）,294793.0,
1104,2025Q1,8300,其他綜合損益（淨額）,22676.0,
1104,2025Q1,8310,不重分類至損益之項目總額,-105392.0,
1104,2025Q1,8316,透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,-105948.0,
1104,2025Q1,8341,不重分類至損益之其他項目,556.0,
1104,2025Q1,8360,後續可能重分類至損益之項目總額,128068.0,
1104,2025Q1,8370,採用權益法認列之關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,128068.0,
1104,2025Q1,8500,本期綜合損益總額,317469.0,
1104,2025Q1,8610,母公司業主（淨利／損）,285118.0,
1104,2025Q1,8620,非控制權益（淨利／損）,9675.0,
1104,2025Q1,8710,母公司業主（綜合損益）,307786.0,
1104,2025Q1,8720,非控制權益（綜合損益）,9683.0,
1104,2025Q1,9710,繼續營業單位淨利（淨損）,0.42,
1104,2025Q1,9750,基本每股盈餘合計,0.42,
1104,2025Q1,9810,繼續營業單位淨利（淨損）,0.41,
1104,2025Q1,9850,稀釋每股盈餘合計,0.41,
1104,2026Q1,4000,營業收入合計,1759047.0,-8.79
1104,2026Q1,5000,營業成本合計,1267401.0,-17.54
1104,2026Q1,5900,營業毛利（毛損）,491646.0,25.51
1104,2026Q1,5950,營業毛利（毛損）淨額,491646.0,25.51
1104,2026Q1,6000,營業費用合計,205906.0,65.39
1104,2026Q1,6100,推銷費用,59154.0,197.81
1104,2026Q1,6200,管理費用,109187.0,30.36
1104,2026Q1,6300,研究發展費用,36496.0,78.16
1104,2026Q1,6450,預期信用減損損失（利益）,1069.0,172.7
1104,2026Q1,6900,營業利益（損失）,285740.0,6.93
1104,2026Q1,7000,營業外收入及支出合計,61620.0,-23.65
1104,2026Q1,7010,其他收入合計,8273.0,19.38
1104,2026Q1,7020,其他利益及損失淨額,2374.0,274.82
1104,2026Q1,7050,財務成本淨額,17441.0,53.44
1104,2026Q1,7060,採用權益法認列之關聯企業及合資損益之份額淨額,66287.0,-19.88
1104,2026Q1,7100,利息收入合計,2127.0,-43.63
1104,2026Q1,7900,繼續營業單位稅前淨利（淨損）,347360.0,-0.16
1104,2026Q1,7950,所得稅費用（利益）合計,56881.0,7.07
1104,2026Q1,8000,繼續營業單位本期淨利（淨損）,290479.0,-1.46
1104,2026Q1,8200,本期淨利（淨損）,290479.0,-1.46
1104,2026Q1,8300,其他綜合損益（淨額）,506823.0,2135.06
1104,2026Q1,8310,不重分類至損益之項目總額,201237.0,290.94
1104,2026Q1,8316,透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,200951.0,289.67
1104,2026Q1,8320,採用權益法認列之關聯企業及合資之其他綜合損益之份額－不重分類至損益之項目,286.0,
1104,2026Q1,8360,後續可能重分類至損益之項目總額,305586.0,138.61
1104,2026Q1,8361,國外營運機構財務報表換算之兌換差額,10107.0,
1104,2026Q1,8370,採用權益法認列之關聯企業及合資之其他綜合損益之份額－可能重分類至損益之項目,295479.0,130.72
1104,2026Q1,8500,本期綜合損益總額,797302.0,151.14
1104,2026Q1,8610,母公司業主（淨利／損）,284208.0,-0.32
1104,2026Q1,8620,非控制權益（淨利／損）,6271.0,-35.18
1104,2026Q1,8710,母公司業主（綜合損益）,791009.0,157.0
1104,2026Q1,8720,非控制權益（綜合損益）,6293.0,-35.01
