market,date,rank,code,name,trade_value,trade_volume_shares,closing_price,change,transactions
TWSE,2026-03-25,20,6139,亞翔,6016001766.0,9125278.0,654.0,22.0,15823.0
TPEx,2026-03-26,1,3105,穩懋,16991884500.0,46671000.0,358.5,14.0,31810.0
TPEx,2026-03-26,2,4979,華星光,13871240500.0,32048000.0,411.0,-14.5,24761.0
TPEx,2026-03-26,3,6274,台燿,11848721000.0,19367000.0,606.0,26.0,14706.0
TPEx,2026-03-26,4,1815,富喬,10258260500.0,95064000.0,104.5,-3.5,49418.0
TPEx,2026-03-26,5,8299,群聯,9448845000.0,5544000.0,1650.0,-75.0,4306.0
TPEx,2026-03-26,6,6187,萬潤,9187808000.0,9556000.0,939.0,-16.0,7956.0
TPEx,2026-03-26,7,3324,雙鴻,8464417000.0,8292000.0,985.0,-50.0,6790.0
TPEx,2026-03-26,8,4991,環宇-KY,7988518500.0,17487000.0,442.0,5.0,13042.0
TPEx,2026-03-26,9,3211,順達,7741314500.0,20584000.0,362.0,14.5,11625.0
TPEx,2026-03-26,10,3081,聯亞,6564185000.0,3967000.0,1690.0,150.0,2619.0
TPEx,2026-03-26,11,8358,金居,6033021500.0,24688000.0,249.5,22.5,12829.0
TPEx,2026-03-26,12,6223,旺矽,5357395000.0,1448000.0,3655.0,-95.0,1302.0
TPEx,2026-03-26,13,3529,力旺,4851325000.0,1660000.0,2925.0,140.0,1398.0
TPEx,2026-03-26,14,3293,鈊象,4299931000.0,5507000.0,784.0,35.0,4331.0
TPEx,2026-03-26,15,6147,頎邦,4149306100.0,54110000.0,77.8,7.0,22546.0
TPEx,2026-03-26,16,3491,昇達科,3670740000.0,2380000.0,1550.0,140.0,1463.0
TPEx,2026-03-26,17,3131,弘塑,3604465000.0,1307000.0,2755.0,95.0,1141.0
TPEx,2026-03-26,18,3260,威剛,3468828500.0,9071000.0,371.0,-34.0,6639.0
TPEx,2026-03-26,19,1785,光洋科,3391656500.0,37021000.0,87.7,-4.1,19195.0
TPEx,2026-03-26,20,5274,信驊,3181895000.0,271000.0,11550.0,50.0,263.0
TWSE,2026-03-26,1,2330,台積電,45564939400.0,24634887.0,1840.0,5.0,81572.0
TWSE,2026-03-26,2,2408,南亞科,44151062439.0,185144097.0,225.5,1.0,125715.0
TWSE,2026-03-26,3,2313,華通,42245132861.0,171324863.0,245.5,15.5,118229.0
TWSE,2026-03-26,4,2308,台達電,21264527021.0,13856198.0,1515.0,35.0,36075.0
TWSE,2026-03-26,5,2367,燿華,20499191495.0,260062719.0,75.3,0.2,155316.0
TWSE,2026-03-26,6,3017,奇鋐,19327999055.0,8504254.0,2275.0,175.0,20963.0
TWSE,2026-03-26,7,2344,華邦電,19056552248.0,190169312.0,96.0,2.2,124456.0
TWSE,2026-03-26,8,6770,力積電,18722999356.0,289190595.0,62.8,2.2,139041.0
TWSE,2026-03-26,9,8046,南電,17869634397.0,31163172.0,569.0,29.0,33836.0
TWSE,2026-03-26,10,6669,緯穎,17165239180.0,4830878.0,3465.0,295.0,61796.0
TWSE,2026-03-26,11,2455,全新,16855082004.0,60013072.0,272.0,5.5,56718.0
TWSE,2026-03-26,12,2383,台光電,13540701748.0,4555967.0,2945.0,100.0,11593.0
TWSE,2026-03-26,13,2454,聯發科,12615638600.0,7833984.0,1590.0,30.0,43055.0
TWSE,2026-03-26,14,3715,定穎投控,12261481975.0,64174462.0,185.0,2.0,51983.0
TWSE,2026-03-26,15,2345,智邦,12018485940.0,7062091.0,1675.0,10.0,10191.0
TWSE,2026-03-26,16,6442,光聖,10709047380.0,4949952.0,2080.0,45.0,14344.0
TWSE,2026-03-26,17,2360,致茂,9781419695.0,5841103.0,1640.0,15.0,7699.0
TWSE,2026-03-26,18,4958,臻鼎-KY,9348029755.0,42853097.0,218.5,11.0,36904.0
TWSE,2026-03-26,19,2317,鴻海,8527296581.0,41973121.0,200.5,0.5,43536.0
TWSE,2026-03-26,20,3661,世芯-KY,7412518300.0,2377577.0,3065.0,85.0,22683.0
TPEx,2026-03-27,1,3105,穩懋,22004752000.0,59954000.0,382.5,24.0,43641.0
TPEx,2026-03-27,2,8299,群聯,15580410000.0,10157000.0,1565.0,-85.0,7729.0
TPEx,2026-03-27,3,3081,聯亞,8287505000.0,4918000.0,1720.0,30.0,4372.0
TPEx,2026-03-27,4,6274,台燿,7904192000.0,13010000.0,626.0,20.0,10200.0
TPEx,2026-03-27,5,3211,順達,7595061500.0,20793000.0,365.0,3.0,15665.0
TPEx,2026-03-27,6,3491,昇達科,7418830000.0,4506000.0,1665.0,115.0,3885.0
TPEx,2026-03-27,7,8358,金居,6778691500.0,28845000.0,237.0,-12.5,19683.0
TPEx,2026-03-27,8,4971,IET-KY,5152440000.0,9541000.0,578.0,52.0,7606.0
TPEx,2026-03-27,9,6187,萬潤,5100303000.0,5453000.0,968.0,29.0,4190.0
TPEx,2026-03-27,10,1785,光洋科,4637020900.0,49526000.0,96.4,8.7,24596.0
TPEx,2026-03-27,11,3324,雙鴻,4479795000.0,4654000.0,993.0,8.0,3970.0
TPEx,2026-03-27,12,6223,旺矽,3791765000.0,1047000.0,3665.0,10.0,960.0
TPEx,2026-03-27,13,3260,威剛,3756906000.0,10747000.0,390.5,19.5,7181.0
TPEx,2026-03-27,14,6147,頎邦,3493013800.0,45470000.0,76.8,-1.0,19882.0
TPEx,2026-03-27,15,3131,弘塑,3313685000.0,1184000.0,2845.0,90.0,1011.0
TPEx,2026-03-27,16,3529,力旺,3221350000.0,1134000.0,2825.0,-100.0,1030.0
TPEx,2026-03-27,17,1815,富喬,3073889500.0,29589000.0,106.5,2.0,14953.0
TPEx,2026-03-27,18,5274,信驊,2831950000.0,249000.0,11555.0,5.0,246.0
TPEx,2026-03-27,19,5347,世界,2522906000.0,21091000.0,120.5,3.5,8841.0
TPEx,2026-03-27,20,8096,擎亞,2279485300.0,25407000.0,91.4,3.3,14601.0
TWSE,2026-03-27,1,2330,台積電,61384010665.0,33883223.0,1820.0,20.0,165562.0
TWSE,2026-03-27,2,2313,華通,40550185605.0,156245171.0,270.0,24.5,115479.0
TWSE,2026-03-27,3,2408,南亞科,28518129664.0,133271176.0,219.5,6.0,96100.0
TWSE,2026-03-27,4,2367,燿華,26961853451.0,341703020.0,78.2,2.9,203659.0
TWSE,2026-03-27,5,2308,台達電,15623578905.0,10527057.0,1510.0,5.0,27606.0
TWSE,2026-03-27,6,3715,定穎投控,15013138713.0,76656668.0,203.5,18.5,69135.0
TWSE,2026-03-27,7,8046,南電,14385615231.0,25431954.0,561.0,8.0,33822.0
TWSE,2026-03-27,8,2344,華邦電,14319399468.0,159719227.0,92.4,0.0,110690.0
TWSE,2026-03-27,9,6770,力積電,13111299759.0,222663654.0,59.2,3.6,116935.0
TWSE,2026-03-27,10,4958,臻鼎-KY,12433870936.0,55191451.0,230.0,11.5,45758.0
TWSE,2026-03-27,11,3017,奇鋐,12019459870.0,5491400.0,2195.0,80.0,16496.0
TWSE,2026-03-27,12,2454,聯發科,11969994985.0,7673536.0,1585.0,5.0,38770.0
TWSE,2026-03-27,13,6285,啟碁,8628075570.0,46939719.0,188.5,16.5,40883.0
TWSE,2026-03-27,14,0050,元大台灣50,8622872378.0,115798710.0,75.0,0.8,161501.0
TWSE,2026-03-27,15,2455,全新,7561781007.0,28346592.0,270.5,1.5,33280.0
TWSE,2026-03-27,16,2345,智邦,7351432015.0,4485957.0,1655.0,20.0,7962.0
TWSE,2026-03-27,17,6669,緯穎,6799766895.0,2008054.0,3395.0,70.0,18793.0
TWSE,2026-03-27,18,2383,台光電,5985026820.0,2066364.0,2910.0,35.0,9318.0
TWSE,2026-03-27,19,3711,日月光投控,5942922234.0,17087472.0,353.5,5.5,15599.0
TWSE,2026-03-27,20,2317,鴻海,5852919796.0,29525374.0,199.5,1.0,33104.0
TPEx,2026-03-30,1,3105,穩懋,19583025000.0,52088000.0,390.5,8.0,37794.0
TPEx,2026-03-30,2,8299,群聯,10663610000.0,6689000.0,1605.0,40.0,5605.0
TPEx,2026-03-30,3,4971,IET-KY,8353456000.0,13768000.0,635.0,57.0,11271.0
TPEx,2026-03-30,4,1785,光洋科,7246655000.0,77445000.0,91.3,-5.1,42711.0
TPEx,2026-03-30,5,3081,聯亞,6895545000.0,4084000.0,1710.0,-10.0,3495.0
TPEx,2026-03-30,6,6274,台燿,6142331000.0,10250000.0,602.0,-24.0,7948.0
TPEx,2026-03-30,7,3211,順達,4792519500.0,13331000.0,354.5,-10.5,9586.0
TPEx,2026-03-30,8,6683,雍智科技,4761320000.0,3369000.0,1520.0,135.0,2986.0
TPEx,2026-03-30,9,3491,昇達科,4343510000.0,2693000.0,1580.0,-85.0,2431.0
TPEx,2026-03-30,10,5274,信驊,4206755000.0,376000.0,11220.0,-335.0,363.0
TPEx,2026-03-30,11,3260,威剛,3421355500.0,8949000.0,370.0,-20.5,6526.0
